FID,building,sky,tree,road,sidewalk,person,plant,car,signboard,awning,minibike,wall,earth,railing,streetlight,sculpture,fence,grass,ceiling,water,bridge,van,ashcan,chair,column,bicycle,mountain,skyscraper,windowpane,pier,bulletin board,lamp,booth,fountain,desk,lake,glass
1,0.483824,0.046902,0.034816,0.295184,0.012078,0.000719,0.000734,0.12459,0.000875,8e-06,0.00013700000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.026637,0.040452999999999996,0.416832,0.0,0.19431600000000002,0.017473,0.033266000000000004,0.0,0.0,0.0,0.0,0.031289,0.145539,0.04052,0.011581999999999999,0.029983999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.491637,0.025366999999999997,0.071531,0.094996,0.0,0.00157,0.006973,0.278859,0.0,0.0,0.0,0.023781,0.0,0.005086,0.0,0.0,8.6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,0.448238,0.10693399999999999,0.0,0.183535,0.00033999999999999997,0.0,0.0,0.001102,0.033589999999999995,0.0,0.0,0.009590000000000001,0.0,0.0,0.0,0.0,0.080371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000,0.307,0.123602,0.135688,0.19843,0.017218999999999998,0.0,0.003043,0.19155899999999998,0.0,0.0,0.0,0.0,0.0,0.001668,0.0,0.0,0.010422,0.0008320000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10001,0.367797,0.039691000000000004,0.16143,0.18421099999999999,0.016878999999999998,0.0,0.038906,0.12768,0.0,0.003199,0.0,0.0,0.0,0.000867,0.0,0.0,0.016125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10002,0.400785,0.001277,0.175488,0.006613,0.15868,9e-05,0.0,0.165082,0.008223000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10003,0.342312,0.012781,0.070207,0.0032340000000000003,0.145816,0.0,0.068816,0.08766,0.067523,0.0,0.0,0.0,0.0,0.0,0.001465,0.0,0.199828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10004,0.135746,0.298203,0.117672,0.27582399999999996,0.0,2.3e-05,0.0,0.0,0.0,0.0,0.0,0.09173400000000001,0.0006129999999999999,0.009831999999999999,0.00125,0.0,0.010715,0.006492,0.035801,0.016082,1.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10005,0.048191000000000005,0.4595,0.017871,0.44020699999999996,0.002633,0.0,0.0026449999999999998,0.012387,0.001098,0.0,0.0,0.014527000000000002,0.000391,0.0,2.3e-05,0.0,0.0,0.000523,0.0,0.0,4e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
